#separator:comma
#html:true
#notetype:COCA-English
#deck column:1
#tags column:13
LEP-English::P02,Word,UUID,UID,Part of Speech,Grammar,Pronunciation/IPA,Audio Link,Definition,Example 1,Example 2,Example 3,Tags
LEP-English::P02,ghost out,5b4c3d2a,15,phrasal verb,informal,/ɡəʊst aʊt/,,"To leave or disappear suddenly without explanation","He ghosted out to work at summer schools","She ghosted out of the party","Don't ghost out on your responsibilities",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,broaden horizons,4a3b2c1d,16,phrasal verb,,/ˈbrɔːdən həˈraɪzənz/,,"To expand one's experiences, knowledge, or outlook","It gives them a chance to broaden their horizons","Traveling helps broaden your horizons","Reading can broaden your horizons",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,listlessly,3e2d1c0b,17,adverb,,/ˈlɪstləsli/,,"Without energy or enthusiasm","Students just listlessly sitting around in the park","He moved listlessly through the day","She listlessly picked at her food",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,hardcore,2d1c0b9a,18,adjective,informal,/ˈhɑːdkɔː/,,"Very intense or demanding","When you work at a summer school, it's quite hardcore","She's a hardcore fitness enthusiast","The job requires hardcore dedication",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,in the same boat,1c0b9a8d,19,idiom,,/ɪn ðə seɪm bəʊt/,,"In the same difficult situation as others","Everyone's in the same boat so you end up making friends","We're all in the same boat with this deadline","Most new parents are in the same boat",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,formative,0b9a8d7e,20,adjective,,/ˈfɔːmətɪv/,,"Having an important influence on development","It's a really formative experience","Those were her formative years","Travel can be a formative experience",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,take the piss,1a2b3c4d,21,phrasal verb,informal,/teɪk ðə pɪs/,,"To mock or make fun of someone (British slang)","A lot of my friends take the piss out of me now","Don't take the piss, I'm being serious","They were just taking the piss",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,drift apart,2b3c4d5e,22,phrasal verb,,/drɪft əˈpɑːt/,,"To gradually become less close to someone","We drifted apart after university","Old friends often drift apart","They slowly drifted apart over the years",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,hit up,3c4d5e6f,23,phrasal verb,informal,/hɪt ʌp/,,"To contact someone, usually casually or for a favor","I could hit him up on FB","Hit me up when you're in town","She hit up her friends for help",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,rekindle,4d5e6f7g,24,verb,,/riːˈkɪndl/,,"To revive or restart something","Any chance we could rekindle our friendship?","They tried to rekindle their relationship","He wanted to rekindle his interest in music",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,give yourself away,5e6f7g8h,25,phrasal verb,,/ɡɪv jɔːˈself əˈweɪ/,,"To reveal something about yourself unintentionally","I don't know if I'm giving myself away as a dinosaur","Her accent gave her away","His nervous laugh gave himself away",LEP-English::2022.06.01 LEP-English::P02
